spec,beta,se,p,n,ci_lo,ci_hi
(1) Baseline (HC3),1548.2438019991596,749.9867588629278,0.038983452499902996,614,78.26975462782116,3018.217849370498
(2) HC1 SE,1548.2438019991596,740.5760491327165,0.036564479257100824,614,96.71474569903512,2999.772858299284
(3) Drop top 1% re78,747.3378021976814,655.5134131457161,0.2542529288260966,596,-537.468487567922,2032.1440919632848
(4) Common support,1389.6447580167624,772.0112366007576,0.07185562078441896,465,-123.49726572072245,2902.7867817542474
(5) Add age² + educ²,1517.0551149230741,757.8706530387909,0.04531339573318707,614,31.628634967044036,3002.4815948791043
(6) Add re74² + re75²,1235.7205928494084,714.1112758213474,0.08355322327808129,614,-163.93750776043248,2635.378693459249
(7) Drop u74 strata,-1293.6221537833742,1154.2923296806316,0.26241309594433404,371,-3556.0351199574125,968.7908123906639
(8) Earners only,1093.4924554652735,848.2755270122062,0.19737132524953538,471,-569.1275774786507,2756.112488409198
(9) IHS outcome,0.9403748623898318,0.4373079031748958,0.03152576661052279,614,0.08325137216703604,1.7974983526126276
(10) Log outcome,0.8927283073961014,0.4067666449517302,0.02818555677937846,614,0.09546568329071026,1.6899909315014927
