spec,beta,se,p,n,ci_lo,ci_hi
(1) Baseline (HC3),1548.2438019996148,749.9867588631712,0.03940984607448978,614,78.26975462779933,3018.21784937143
(2) HC1 SE,1548.2438019996148,740.5760491329552,0.03698190944764292,614,96.71474569902261,2999.772858300207
(3) Drop top 1% re78,747.3378021978884,655.513413145879,0.2547186890956976,596,-537.4684875680344,2032.1440919638112
(4) Common support,1389.6719043290373,772.8632338386155,0.07284006942396815,456,-125.14003399464923,2904.483842652724
(5) Add age^2 + educ^2,1517.0551149239086,757.8706530392058,0.04576163519855693,614,31.62863496706541,3002.481594880752
(6) Add re74^2 + re75^2,1235.7205976507844,714.1112786064862,0.08406568617532441,614,-163.93750841792848,2635.378703719497
(7) Drop u74 strata,-1293.6221537830816,1154.29232968032,0.26315808077812913,371,-3556.035119956509,968.7908123903458
(8) Earners only,1093.4924554649988,848.2755270119204,0.1980177731206008,471,-569.1275774783653,2756.112488408363
(9) IHS outcome,0.9403748623901044,0.4373079031750479,0.03192198906575316,614,0.0832513721670105,1.7974983526131982
(10) Log outcome,0.8927283073963603,0.406766644951872,0.028565492274328214,614,0.09546568329069127,1.6899909315020294
