id,title,keyword,time_span,region_span,purchase_type,price,detail_url,list_page,data_intro,data_indicators
3423,2308 上市公司产学研合作（UIC）数据（2000-2024）,上市公司产学研合作（UIC）,2000-2024,.,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3423,1,"产学研合作（University-Industry Collaboration, UIC）是衡量企业与高校及科研机构协同创新程度的核心指标。本数据集基于中国上市公司年度报告中披露的客户及合作方清单构建，由团队依据公开披露信息测算，时间覆盖2000 2024年。核心指标包括股票代码、年份以及产学研合作强度（UIC）。指标计算公式为：UIC = ln(1 + 当年披露的产学研合作方数量)。其中，合作方定义为在年报客户清单或合作方章节中出现的、名称包含“大学”“学院”“学校”“研究院”“研究所”“科学院”“党校”“高校”“研究中心”等关键词的机构。每个不同的合作方（去重后）计为1次，取自然对数以缓解偏态分布问题。该指标取值通常介于0与3.5之间（部分企业因未披露客户信息或未与高校合作而取值为0），数值越大表示企业与学术机构的合作越活跃，能够有效刻画企业在特定年度的“产学研协同创新”程度，为研究开放式创新、知识溢出与技术转化提供基础数据。 基于本数据集，研究者可从三方面展开实证分析。第一，研究产学研合作对企业创新绩效的影响，将UIC与企业专利数、新产品产值等变量匹配，采用面板固定效应模型检验合作是否显著提升创新产出，并探索吸收能力、融资约束的调节作用。第二，分析产学研合作与政府补贴、知识溢出的互补效应，结合政府R&D补贴强度（SUB）和区域大学专利存量（KS），考察三螺旋（Triple Helix）框架下各要素的协同作用，即合作是否在补贴超过阈值（如营收的1.39%）时产生倍增效果。第三，进行异质性分析，按企业产权性质（国有/民营）、行业（制造业/服务业）、地区市场化程度分组，检验产学研合作效果的差异，为“精准施策”提供经验证据。 本数据集严格按照论文定义处理，所有处理通过Python（pandas、正则表达式）编程实现，确保可复现。首先进行数据提取与清洗：从上市公司年报PDF或txt文件中，定位“主要客户”“前五大客户”“合作伙伴”等章节，提取章节文本。其次识别合作方：对文本逐句扫描，使用正则表达式匹配包含机构后缀（如“大学”“研究院”等）的中文名称，并排除个人学历、项目名称等噪声（例如过滤包含“毕业”“博士”“存货”“在建开发产品”的句子）。然后统计去重：每家公司每年出现的不同合作方名称去重后计数。最后进行对数转换：计算ln(1+计数)，得到产学研合作强度。若年报未披露客户清单或无合作方，则结果为0。输出Excel文件，包含股票代码、股票简称、年份、产学研合作识别次数、产学研合作标记、产学研合作对数转换值、具体合作关联词供后续分析使用。",股票代码 | 股票简称 | 年份 | 产学研合作识别次数 | 产学研合作标记 | 产学研合作对数转换值 | 具体合作关联词
3422,2305 农业新质生产力数据（2012-2024年）,农业新质生产力数据（2012-2024年）,2012-2024年,各省份,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3422,1,今天数据皮皮侠团队为大家分享一份2012-2024年的各省份农业新质生产力数据，供大家研究使用。,目标层 | 准则层 | 一级指标 | 二级指标 | 计量方式 | 属性 | 农业 新质 生产力 | 农业 劳动者 | 劳动者技能 | 受教育程度 | 农村劳动力人均受教育年限 | 正 | 农村成人技术培训比例 | 农村成人文化技术培训学校结业生数量/乡村人口数量 | 劳动生产率 | 第一产业人均产值 | 第一产业产值/第一产业从业人数 | 农村居民人均收入 | 农村居民人均可支配收入 | 劳动者就业理念 | 农村劳动力流动情况 | 外出务工劳动力/乡村从业人员 | 负 | 农业 劳动 对象 | 生态环境 | 绿色环保 | 森林覆盖率 环境保护财政支出/政府公共财政支出 | 正 正 | 污染治理 | 农业COD污染排放占比/第一产业产值占比 农业氨氮排放占比/第一产业产值占比 | 负 负 | 新质产业 | 农业产业 创新情况 农林牧渔服务业情况 | 农民专业合作社数量/第一产业从业人员 农业专业化国家重点龙头企业数量 农林牧渔服务业增加值 | 正 正 正 | 农业 劳动 资料 | 物质生产资料 | 传统基础设施 | 农村公路里程数/乡村人口 | 数字基础设施 | 农村宽带接入用户数/乡村户数 每平方米光缆线路长度 | 能源消耗 | 农林牧渔业能源消费量/农林牧渔业总产值 农村人均用电量 | 负 正 | 无形生产资料 | 科技创新 | 农业科技从业人员数 农业R&D投入存量 | 数字化水平 | 农村数字普惠金融投资指数 农村数字普惠金融移动支付指数
3421,2304 关羽故里空间关联度(2026),关羽故里,2026,中国地级市,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3421,1,关羽故里空间关联度，是基于地理信息系统与行政区划经纬度数据，通过测算各城市行政中心与关羽故乡（山西省运城市盐湖区解州镇常平村）之间的球面直线距离，经对数化处理后量化城市在文化地理上与其信仰发源地之间的空间邻近性的分析指标。其核心是通过引入历史人物出生地的空间坐标作为文化传播的地理锚点，构建反映地域与关羽信仰起源地之间空间衰减关系的连续变量，从而为考察非正式制度（如民间信仰）的空间扩散及其经济社会影响提供可操作化的地理工具变量。 基于此可展开多维度研究：一是文化传播机制研究，将空间关联度作为关羽信仰文化影响的代理变量或工具变量，分析其与地方信任水平、社会资本、商业规范及契约执行之间的关系，探讨历史文化通过空间邻近性对当代经济行为的长期塑造作用；二是区域比较研究，结合南北分界、历史行政区划、方言分区与地理屏障（如山脉、河流），分析关羽信仰影响的空间异质性，识别文化效应在传播过程中的衰减规律与边界效应；三是历时性变迁研究，可结合清代以来祠庙分布、地方志记载与当代调查数据，检验空间关联度是否在不同历史阶段持续预测信仰强度与社会经济结果，揭示文化地理影响的持久性与动态调整；四是机制检验与排除替代解释，通过控制其他历史因素（如与儒家书院、商帮发源地、军事要冲的距离），论证关羽信仰独特性的因果识别假设，增强工具变量的排他性；五是多层次空间计量研究，将城市层面的空间关联度嵌入区域网络分析，考察其与邻近城市在制度模仿、文化辐射与经济互动中的空间溢出效应。 本数据参照经济史与文化经济学相关研究范式，基于公开地理信息与历史考据，构建“城市‑关羽故里空间关联度数据集”，即通过坐标获取、球面计算与对数转换生成标准化的空间邻近指标，步骤如下：1、坐标获取，依据史料确定关羽故里位于今运城市盐湖区解州镇常平村，通过地理信息系统确定其经纬度坐标（东经110.9570，北纬34.92877），并整合覆盖全国地级行政区划的政府驻地经纬度数据库；2、距离计算，采用Haversine球面距离公式，依据各城市坐标与关羽故里坐标，计算其间的球面直线距离（单位：公里）；3、指标生成，为缓解分布偏态、贴近引力模型常用设定并增强工具变量外生性，对上述直线距离加1后取自然对数，生成最终的“关羽故里空间关联度（GuanYu_proximity）”截面数据。该测度在相关实证文献中作为核心工具变量使用，能够有效捕捉关羽信仰随地理距离衰减的变异来源，为识别非正式制度的历史路径依赖提供空间识别基础。,行政区划代码 | 省份 | 城市 | 经度 | 纬度 | 距离_公里 | 关羽故里空间关联度
3420,2296 地市级服务贸易创新发展试点DID（2000-2025）,服务贸易创新,2000-2025,全国地市级,单独购买,199数据元,https://www.ppmandata.cn/trade/detail?id=3420,1,“服务贸易创新发展试点指标”是基于准自然实验构建的双重差分虚拟变量，旨在识别服务贸易创新发展试点政策的冲击效应。本数据集以 2016 年国务院启动服务贸易创新发展试点工作为政策起点，后续纳入 2018 年深化试点、2020 年全面深化试点扩围的地市级行政区划单元作为处理组，结合政策首次实施时点将政策冲击基准设定为 2016 年，有效捕捉了服务贸易创新发展试点在推动服务业开放、优化服务产业链布局、提升营商环境质量、吸引高质量 FDI 等方面的政策效应。 本数据集为研究服务业开放的经济效应与作用机制提供了可量化、可追踪的实证基础，有助于从城市层面考察服务贸易创新发展试点政策的实施效果。基于此，可系统开展以下三方面研究：一是检验服务贸易创新发展试点对服务产业链可持续发展、FDI 质量等核心变量的影响，识别服务业开放政策的净效应；二是分析该试点政策通过营商环境优化、创新要素集聚、制度环境完善等机制作用于服务经济发展的传导路径，厘清服务业开放的赋能逻辑；三是探究不同城市在资源禀赋、产业基础、开放程度差异下对试点政策的异质性响应，为进一步完善服务业开放政策、推动服务贸易高质量发展提供经验依据。 本数据集参照顾振华（2024）发表于《企业经济》的论文《服务业开放促进服务产业链可持续发展的效应和机制分析 —— 基于服务贸易创新发展试点的准自然实验》、孙鹏与李岱军（2023）发表于《国际商务 (对外经济贸易大学学报)》的论文《服务贸易、营商环境与 FDI 质量 —— 基于服务贸易创新发展试点的准自然实验》的研究设计，构建“地市级服务贸易创新发展试点 DID”数据集，核心变量为“DID”，是时间虚拟变量（post）与倡议实施组别虚拟变量（treat）的乘积项。若某市在 2016 年及以后受到服务贸易创新发展试点政策实施带来的政策影响，则 post 取值为 1，否则为 0；若某市属于服务贸易创新发展试点（含 2016 首批、2018 深化、2020 全面深化试点），则 treat 取值为 1，否则为 0。该数据可直接用于双重差分（DID）、多期DID及事件研究（Event Study）等因果推断方法，为研究服务业开放、服务产业链发展、营商环境与 FDI 质量之间的关系提供可靠的数据支撑。,年份 | 省级名称 | 省级代码 | 市级名称 | 市级代码 | treat | post | DID
3419,2307 上市公司司法体制改革试点DID（2000-2024）,上市公司司法体制改革试点DID（2000-2024）,2000-2024,全国省级,单独购买,199数据元,https://www.ppmandata.cn/trade/detail?id=3419,1,"“司法效率”是一个基于准自然实验的多期双重差分虚拟变量，旨在精准评估司法体制改革对审计费用的政策效应。依据中央全面深化改革领导小组会议公告以及新闻报道，司法体制改革采取的是地区试点、逐步推开的方式，因此本数据集将2014年首批公布的上海、广东等7个试点省市以及分别在2015年和2016年确定第二批、第三批试点省份作为处理组，有效捕捉司法效率促进资本市场健康发展的新证据。 本数据集为研究司法效率如何影响审计费用及其作用机制提供了可量化、可追踪的实证基础，丰富拓展了审计费用影响因素的相关研究。基于此数据集，可系统开展以下研究：一是检验司法效率对审计费用影响的应果效应，证实司法效率提升对公司治理的积极作用；二是分析司法效率通过风险溢价、非成本补仓等路径影响公司审计费用的机制作用；三是探究在媒体关注、分析师关注、内部控制质量、产权性质和审计师行业专长等不同作用场景下，司法效率影响审计费用的横截面差异。 本数据集参照熊婷,程博,殷俊明（2024）发表的论文《司法效率与审计费用：基于司法改革试点的准自然实验》的研究设计，构建“司法体制改革试点DID”数据集，核心变量为“司法效率”，定义为公司所处省份成为司法体制改革试点后的年份取值为1，否则为0。具体而言，如果企业位于上海省、广东省、吉林省、湖北省、青海省、海南省或贵州省，则2014年及以后年份取值为1，否则为0；如果企业位于山西省、内蒙古自治区、黑龙江省、江苏省、浙江省、安徽省、福建省、山东省、重庆市、云南省或宁夏回族自治区，则2015年及以后年份取值为1，否则为0；如果企业位于北京市、天津市、河北省、辽宁省、江西省、河南省、湖南省、四川省、陕西省、甘肃省、广西壮族自治区、西藏自治区或新疆维吾尔自治区，则2016年及以后年份取值为1，否则为0。该数据可直接用于双重差分（DID）、多期DID及事件研究（Event Study）等因果推断方法，为研究司法效率如何影响审计费用及其作用机制提供可靠的数据支撑。",股票代码 | 股票简称 | 年份 | 注册具体地址 | 所属省份代码 | 所属省份 | 上市状态 | 司法效率
3418,2302 上市公司人工智能创新产出（2002-2025）,上市公司人工智能创新产出,2002-2025,中国A股上市公司,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3418,1,上市公司人工智能创新产出数据，是衡量上市公司在人工智能领域技术积累、知识创造与创新活跃度的重要微观指标。随着人工智能逐渐成为推动产业升级、数字经济发展和新质生产力形成的关键力量，上市公司是否能够持续产出人工智能相关创新成果，已经成为观察其技术竞争力、创新能力与未来成长潜力的重要切入点。相较于一般创新指标，人工智能创新产出更能反映上市公司在算法模型、机器视觉、智能识别等前沿技术方向上的研发投入与技术突破情况，因此对研究上市公司技术进步、产业智能化转型、创新政策实施效果以及区域创新生态演化具有重要价值。 基于此数据，可广泛开展多维度实证研究：一是可用于检验政府支持、产学研合作、知识溢出、数字化转型等因素对上市公司人工智能创新产出的影响，识别不同创新要素的独立作用与协同效应；二是可用于分析上市公司如何通过吸收外部知识、拓展高校科研合作、优化资源配置等路径提升人工智能创新能力，从而揭示上市公司AI创新的形成机制；三是可用于考察不同产权性质、研发强度、行业属性及发展阶段下上市公司人工智能创新产出的异质性特征，为理解人工智能创新政策、上市公司创新行为及创新绩效之间的关系提供可靠的数据基础。 本数据参照 Wang、Zhou、Guan 和 Dai（2026）的研究设计，基于上市公司专利申请数据构建“上市公司人工智能创新产出数据集”。具体而言，首先依据国际专利分类号对人工智能相关专利进行识别，主要包括 G06N 和 G06V 两类技术领域，其中 G06N 涵盖基于特定计算模型的计算安排，如机器学习、神经网络和深度学习等，G06V 主要涵盖图像识别和机器视觉等技术方向；其次，对企业层面的年度专利申请信息进行整理、匹配与汇总，统计各企业在不同年份的人工智能相关发明专利申请数量；最后，借鉴现有研究做法，对人工智能相关专利申请量加 1 后取自然对数，形成标准化的企业人工智能创新产出指标。,年份 | 股票代码 | 公司名称 | ai_patent_count | 人工智能创新产出指标
3417,2301 上市公司持续性创新投入（2000-2025）,上市公司,2000-2025,.,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3417,1,本数据集基于数据皮皮侠团队人工整理的2000—2025年中国上市企业数据构建，核心指标为企业持续性创新投入（IIP）。该指标借鉴何郁冰（2017）、杨仁发（2025）的研究思路，通过计算企业第 至 年研发投入之和与第 至 年研发投入之和的比值，再将该比值乘以第 至 年研发投入之和，最后取自然对数并加1，以此反映企业在创新投入上的持续性特征。 其中， 表示企业 的当期研发投入， 和 分别表示企业 的前一期、前两期的研发投入。该值越高，表明企业的持续性创新投入水平越高。数据集还包含企业年龄、企业规模、资产负债率、总资产净利润率、托宾Q值、现金流比率、独立董事比例、两职合一、第一大股东持股比例等控制变量，可广泛用于企业创新持续性相关的实证研究。 基于上述指标，研究者可从以下三方面展开深入分析：其一，探究耐心资本等核心解释变量对企业持续性创新投入的影响效应与作用机制，如资源赋能、治理优化及风险共担等路径；其二，开展异质性分析，考察不同企业类型（如劳动密集型与资本密集型）、不同生命周期阶段（成长期与非成长期）及不同市场竞争程度下，持续性创新投入驱动因素的差异表现；其三，分析企业持续性创新投入所产生的经济后果，包括对持续性创新产出（如专利申请持续性）及企业竞争优势（如行业超额利润率）的影响，揭示持续性创新投入的价值实现路径。 本数据集的原始数据包含“证券代码”“统计截止日期”“研发投入金额”三列。在数据处理时，首先从“统计截止日期”中提取年份，并按证券代码与年份升序排序，同时剔除研发投入金额为空值或非正数的记录。随后按证券代码分组，对每个企业依次取连续三年的研发投入数据（第 、、 年），按照公式计算该企业第 年的持续性创新投入（IIP）值，若某企业连续不足三年数据则无法计算任何 IIP 值并自动跳过。将计算得到的 IIP 值与对应的证券代码、年份合并输出，并根据证券代码和年份从原始数据中匹配对应的股票简称，最终生成包含“证券代码”“年份”“IIP”“股票简称”的完整数据集。数据时间跨度覆盖 2000—2025年，不额外进行样本筛选（如剔除金融业、ST 企业）或缩尾处理，以保持原始数据的完整性与可复现性，使用者可根据自身研究需要自行进行样本清洗。,年份 | 证券代码 | 证券简称 | IIP
3416,2299 省级政府环保关注度（2000-2026）,环保关注度,2000-2026,全国各地市级政府,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3416,1,本数据参照李小荣、徐腾冲（2026）的研究设计，基于地市级政府工作报告文本数据构建“地市级政府环保关注度文本分析数据集”。具体而言，首先通过阅读政府工作报告，构建环保词汇文本库，主要包括环境保护类、环境污染类、能源消耗类、环境共治类及其他类词汇；其次，排除含有否定意义的表述，并删除缩进符、空格、换行符等无效文本信息；最后，对环保相关词汇进行识别计数，并计算其在文本中的相对占比，形成标准化的政府环保关注指标。环保词汇文本库具体如下： 1. 环境保护类： 低碳、低碳发展、低碳经济、低碳转型、环境保护、环保、减排、节能减排、污染治理、环境治理、生态、生态环境、生态保护、生态文明、生态修复、环保督察、环保整治、环保整改、环境整治、环境修复、环境改善、环境提升、绿色、绿色发展、绿色经济、绿色产业、绿色转型、绿色低碳、绿色制造、绿色生产、绿色技术、绿色生活、绿色消费、绿色建设、绿色空间、资源保护、资源节约、循环利用、循环经济、清洁生产、清洁化生产、环境监测、环保设施、环保工程、环保投入、环保宣传、生态安全、生态屏障、生态系统、生物多样性、生物多样性保护、自然保护、自然资源保护、水土保持、国土绿化、植树造林。 2. 环境污染类： 环境污染、污染、污染防治、污染治理、污染整治、污染防控、污染源、污染物、污染排放、污染源治理、排污、排污口、排污许可、超标排放、达标排放、大气污染、空气污染、水污染、水体污染、流域污染、土壤污染、耕地污染、地下水污染、重金属污染、重金属、固废、固体废物、危险废物、危废、医疗废物、垃圾污染、白色污染、噪声污染、噪音污染、光污染、化学污染、有毒物质、有毒有害、放射性污染、工业污染、工业废气、工业废水、废气、废水、污水、污水处理、污水治理、污泥、黑臭水体、雾霾、扬尘、烟尘、粉尘、PM2.5、PM10、二氧化硫、氮氧化物、挥发性有机物、VOCs、臭氧污染、尾气、尾气治理、餐饮油烟、油烟治理、秸秆焚烧。 3. 能源消耗类： 能耗、能源消耗、综合能耗、单位能耗、能耗强度、能源利用、能源效率、能效、节能、节能降耗、降耗、控能、能源双控、双控、煤耗、电耗、水耗、油耗、燃料消耗、资源消耗、能源结构、能源结构调整、能源转型、能源革命、能源替代、能源优化、能源供应、能源安全、用能、重点用能、高耗能、高能耗、落后产能、去产能、清洁能源、新能源、可再生能源、非化石能源、绿色能源、低碳能源、风能、风电、光伏、太阳能、太阳能发电、风力发电、水能、水电、核能、核电、氢能、生物质能、地热能、天然气、煤改气、煤改电、电能替代、清洁取暖、储能、智能电网、新型电力系统、充电桩、新能源汽车、碳达峰、碳中和、双碳、碳排放、碳排放强度、温室气体、二氧化碳排放、减碳、控碳。 4. 环境共治类： 协同发展、可持续、可持续发展、协同治理、联防治污、环保协同、综合治理、联防联控、联治、联动治理、联合治理、共治、共建、共管、共建共治共享、协同推进、区域协同、区域合作、跨区域治理、流域治理、流域共治、河长制、河长、湖长制、湖长、林长制、林长、网格化治理、系统治理、源头治理、长效机制、治理体系、治理能力、现代环境治理体系、环境治理体系、社会共治、多元共治、全民共治、多方参与、公众参与、社会参与、企业参与、政府引导、部门联动、联合执法、群防群治、齐抓共管、协作机制、会商机制、联席会议、考核机制、责任体系、监督体系、监管体系、环境监管、环境执法、环保督察、专项整治、专项行动、第三方治理、市场化治理、社会监督、信息公开、环境信息公开、政企协同、政社协同、生态补偿、补偿机制、考核问责、责任追究、监测预警、应急联动、风险联防、数字治理、智慧环保。 5. 其他类： 蓝天、碧水、净土、绿地、绿化、造林、植树、植树造林、退耕还林、退耕还草、封山育林、天然林保护、防护林、湿地保护、草原保护、森林保护、生态屏障、水源涵养、水源地保护、涵养水源、水清岸绿、岸线修复、矿山修复、河湖修复、生态补水、山水林田湖草、山水林田湖草沙、蓝天保卫战、碧水保卫战、净土保卫战、美丽中国、美丽城市、美丽乡村、宜居、宜居城市、无废城市、海绵城市、园林城市、国家公园、自然保护区、生态廊道、生态功能区、河湖长制、河畅、水清、岸绿、景美、清水绿岸、鱼翔浅底、绿水青山、青山绿水、绿色家园、生态家园、秀美山川、生态宜居、城乡绿化。,年份 | 省份名称 | 省份代码 | 城市名称 | 报告总词数 | 环境保护类词频 | 环境污染类词频 | 环境共治类词频 | 其他类词频 | 环保关注总词频 | 政府环保关注度
3415,2298 上市公司纵向共同机构投资者哑变量（2007-2025）,上市公司,2007-2025,上市公司,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3415,1,纵向共同机构投资者哑变量 CIODUM，是依托供应商-客户关系网络，通过匹配机构投资者在年度维度的双向持股特征构建的理论核心变量，其核心是在“纵向产业链-机构交叉持股”的微观结构下，识别上市公司是否在特定年度与其主要客户存在共同的机构投资者（双方持股均≥5%），从而为评估纵向共同机构所有权对企业行为与绩效的影响提供基础识别变量。 基于此可展开多方面研究：一是纵向共同机构所有权的治理效应研究，探究其对企业创新投入、研发效率、资本配置与信息披露质量的作用机制，识别其通过缓解融资约束、促进信息传递、强化监督治理等渠道影响企业决策的具体路径；二是所有权结构的网络效应研究，分析纵向共同机构在产业链上下游企业间形成的利益关联网络如何影响企业间的交易成本、合作稳定性与风险共担，刻画其在促进供应链协同、抑制机会主义行为方面的独特功能；三是所有权异质性的经济后果研究，考察纵向共同机构的不同类型（如公募基金、社保基金、QFII等）、持股比例、持股期限与治理积极性的差异如何调节其对企业价值、投资效率与市场表现的影响；四是制度环境与市场条件的调节效应研究，探究区域金融发展水平、法治环境、产品市场竞争程度等因素如何影响纵向共同机构所有权治理效应的发挥边界与作用强度；五是政策干预的协同效应研究，分析注册制改革、外资开放、国企混改等制度变革与纵向共同机构所有权的交互影响，探究其共同塑造上市公司治理生态的复合机制。 本数据参照罗进辉、戴芷歆（2026）的研究设计，基于中国上市公司微观数据构建“纵向共同机构所有权（CIODUM）数据集”，即通过匹配年度机构持股数据与年度供应链关系数据生成标准化的关系识别变量，步骤如下：1.年度层面数据准备：依据上市公司年度机构持股数据，筛选出所有持股比例≥5%的机构投资者及其持股公司，形成“机构-公司-年度”持股面板；匹配上市公司披露的年度前五大客户信息，构建“供应商-客户-年度”供应链关系面板。2.识别纵向共同机构投资者：对每个机构投资者，检查其是否在某一年度同时持有某一供应商及其客户至少5%的股份，若存在，则标记该机构投资者为“纵向共同机构投资者”。3.构造二值虚拟变量 CIODUM：对每个供应商-客户-年度观测，若存在至少一个纵向共同机构投资者在该年度同时持有双方股份（持股均≥5%），则取值为1，否则为0。4.样本清洗与标准化：对2007–2025年样本进行清洗，剔除金融行业、关键变量缺失及数据异常观测，最终形成用于多维固定效应模型估计的“供应商-客户-年度”非平衡面板数据，为核心变量 CIODUM 的构建与后续实证检验提供规范、可复现的数据基础。,供应商代码 | 客户代码 | 合作时间 | CIODUM
3414,2300 上市公司企业创新质量（2000-2025）,上市公司企业创新质量,2000-2025,Excel形式,单独购买,1999数据元,https://www.ppmandata.cn/trade/detail?id=3414,1,企业创新质量（innov_qual）是衡量企业技术创新深度与技术知识复杂性的核心指标。本数据集基于中国A股上市公司发明专利数据构建，时间跨度为1988—2025年，涵盖共计1048575条公司-专利观察值。核心指标包括：股票代码、公司简称、申请年份、企业创新质量（innov_qual）。该指标参考Aghion et al.（2019）及张杰和郑文平（2018）的研究思路，采用专利知识宽度法进行测度。专利知识宽度反映了专利所涉及技术知识的广泛性与复杂性，知识宽度越大，专利越难以被模仿或改进，创新质量越高。具体而言，首先基于专利的IPC分类号提取大组层级信息，计算每件发明专利的知识宽度；随后，按企业—年份维度取知识宽度的中位数，作为企业在该年度的创新质量。该指标能够有效刻画企业在特定年份内发明专利的技术多样性水平，避免因专利数量分布不均带来的偏误。 基于本数据集，研究者可从开展三方面系统分析。一是政府补贴与企业创新质量的非线性关系研究。将创新质量指标与政府补贴强度、营商环境指数等变量匹配，采用面板门槛模型检验补贴效应在不同营商环境水平下的差异化表现，验证补贴政策是否存在“条件有效性”。二是创新质量对企业成长韧性的影响机制研究。利用创新质量指标与企业全要素生产率、销售收入波动性等韧性指标进行关联分析，探究高质量创新是否能够增强企业在不确定性环境中的抗风险能力与恢复能力。三是创新质量的异质性分析。结合企业产权性质（国有与非国有）、行业属性（战略性新兴产业与非战略性新兴产业）以及地区制度环境（政府廉洁度、产权保护度等）进行分组检验，揭示创新质量在不同情境下的驱动因素与作用边界，为政策制定提供差异化依据。 本数据集的指标构建严格遵循专利知识宽度的测度方法。首先，从原始专利数据中提取公开号、IPC分类号、申请年份、公司名称、股票代码等字段，并根据公开号后缀筛选发明专利（以“A”结尾），剔除实用新型专利（以“U”结尾）。其次，针对每件发明专利的IPC分类号字符串（格式如“H10F71/00; C25D7/12; H10F77/20”），按分号拆分为多个IPC分类号，并提取每个分类号的大组信息（将分类号统一转换为“/00”结尾，如“H10F71/00”），形成该专利的大组列表。再次，根据赫芬达尔—赫希曼指数的测算思路，计算每件专利的知识宽度：统计每个大组在该专利中出现的次数，计算其占比平方和 ，专利知识宽度定义为 。该值越大，表示专利所涉及的技术大组越分散、知识覆盖越广泛。最后，按股票代码与申请年份分组，取各组内所有发明专利知识宽度的中位数，作为该企业在该年度的创新质量（innov_qual）。对于某年无发明专利的企业，该年度不纳入最终样本。所有处理均通过Python编程实现，确保数据清洗、计算与汇总过程的可复现性。,股票代码 | 公司简称 | 申请年份 | Innov_qual
